NET.CN,0,1,13,1
NAME,1,1,1,1
MY,0,1,14,1
MX,0,1,14,1
MSFT.NET,0,1,15,2
MEDCTR.UCLA.EDU,2,1,0,2
MDT.QQ.COM,2,1,0,1
MACOMNET.RU,0,1,6,2
LU,0,1,6,4
LOGMEIN-GATEWAY.COM,0,1,9,2
LIST.DSBL.ORG,2,1,10,2
LEASEWEB.NL,0,1,5,1
LAYERED.NET,0,1,9,1
LAMEDELEGATION.NET,0,1,5,1
JPMORGAN.COM,0,1,4,1
JOMODNS.COM,0,1,7,2
IPV6.MICROSOFT.COM,4,1,3,1
IO,1,1,10,1
INSTAGRAM.COM,0,1,7,2
INFO.AFILIAS-NST.INFO,4,1,4,1
IN,0,1,6,2
IMRK.NET,0,1,12,1
IL.US,0,1,9,3
HEROKUAPP.COM,0,1,14,1
GOV.TW,0,1,8,1
GOV.CN,0,1,8,2
GOV,0,1,8,1
GOOGLEAPIS.COM,0,1,12,4
GOODNIC.NET,0,1,15,2
GANNETTDIGITAL.COM,0,1,4,1
G.DOUBLECLICK.NET,2,1,13,2
G.AKAMAIEDGE.NET,2,1,8,1
FUTURE-S.COM,0,1,2,2
FR,0,1,12,1
FORD.COM,0,1,12,1
ELS-AN.ATT.NET,6,1,6,4
EJCSOLUTIONS.COM,0,1,5,1
EDU.CN,0,1,14,1
EBOWER.COM,0,1,10,2
E.SHIFEN.COM,2,1,6,1
E.FROSTBANK.COM,2,1,5,1
DYNECT.NET.CN,4,1,5,1
DUKANE.COM,0,1,5,1
DSREDIRECTION.COM,0,1,5,1
DNSBL.SORBS.NET,2,1,11,2
DNS.PY,0,1,0,1
DNS.BR,0,1,13,5
DEVRY.NET,0,1,0,1
DECIDE4.US,0,1,5,1
D6.NET,0,1,0,2
CULLYWEBSOLUTIONS.UK,0,1,5,1
COM.WSWEBCDN.COM,2,1,14,1
COM.WSGLB0.COM,2,1,2,2
COM.MY,0,1,4,1
COM.LOCALDOMAIN.COM,2,1,1,5
COM.EDU.CN,2,1,0,1
COM.CLOUDGLB.COM,2,1,15,2
CN.CDN20.COM,2,1,14,1
CLUB,0,1,1,1
CLOUDGLB.COM,0,1,12,1
CHEROKEE.ORG,0,1,5,1
CHANGYOU.COM,0,1,2,6
CDNS.NET,0,1,15,1
CC,1,1,15,1
BRIN.BLOOMBERG.NET,2,1,14,6
BLACKCHICKENHOST.COM,0,1,12,1
BL.SPAMCOP.NET,2,1,0,1
BIZ,1,1,12,2
BEACON.QQ.COM,3,1,6,1
AWSDNS-19.CO.UK,3,1,14,2
ASEIT.COM.AU,4,1,5,1
ARIN.NET,0,1,0,1
APNIC.NET,0,1,15,2
ALIPAYDNS.COM,0,1,7,2
ALIPAY.COM,0,1,12,1
AKAM.NET,0,1,13,2
AFILIAS-NST.INFO,0,1,5,3
60.IN-ADDR.ARPA,4,1,12,1
58.COM,0,1,12,2
55.IN-ADDR.ARPA,20,1,15,2
360.CN,0,1,6,1
2MDN.NET,0,1,9,2
223.IN-ADDR.ARPA,2,1,7,1
